PCC_2007,PCC_2008
,100000Z1
,100000Z2
,100000Z3
17531070,13951070
17541130,13961730
17541150,13961750
17541170,13961770
17541230,13991130
17541250,13991150
17541270,13991170
17541330,13991230
17541350,13991250
17541370,13991270
17542000,13991300
17543140,17221210
17543160,13991400
17543160,17221240
17543200,13961300
17543300,13961100
17543400,13961200
17543500,13991500
17543600,13961500
17543700,13961400
17543830,13961620
17543850,13961650
17543870,13961680
17543900,13991600
17601130,13911100
17601150,13911100
17601170,13911100
17601200,13911910
17711033,14311033
17711035,14311035
17711037,14311037
17711050,14311050
17711090,14311090
17721031,14391031
17721032,14391032
17721033,14391033
17721053,14391053
17721055,14391055
17721061,14391061
17721062,14391062
17721071,14391071
17721072,14391072
17721090,14391090
18101000,14111000
18211120,14121120
18211130,14121130
18211240,14121240
18211250,14121250
18212120,14122120
18212130,14122130
18212240,14122240
18212250,14122250
18213013,14123013
18213023,14123023
18221110,14131110
18221120,14131120
18221230,14131230
18221260,14131260
18221270,14131270
18221310,14131310
18221320,14131320
18221430,14131430
18221460,14131460
18221470,14131470
18221480,14131480
18221490,14131490
18222110,14132110
18222120,14132120
18222130,14132130
18222210,14132210
18222220,14132220
18222300,14132300
18222442,14132442
18222444,14132444
18222445,14132445
18222448,14132448
18222449,14132449
18222455,14132455
18222460,14132460
18223110,14133110
18223120,14133120
18223130,14133130
18223210,14133210
18223220,14133220
18223330,14133330
18223470,14133470
18223480,14133480
18223542,14133542
18223548,14133548
18223549,14133549
18223551,14133551
18223561,14133561
18223563,14133563
18223565,14133565
18223569,14133569
18231110,14141100
18231220,14141220
18231230,14141230
18231240,14141240
18231310,14141310
18231420,14141420
18231430,14141430
18231440,14141440
18231450,14141450
18232100,14142100
18232220,14142220
18232230,14142230
18232240,14142240
18232300,14142300
18232430,14142430
18232450,14142450
18232460,14142460
18232480,14142480
18232489,14142489
18232530,14142530
18232550,14142550
18232570,14142570
18233000,14143000
18241100,14191100
18241210,14191210
18241230,14191230
18241240,14191240
18241250,14191250
18241290,14191290
18241300,14191300
18241430,14191930
18241480,14191960
18242100,14192100
18242210,14192210
18242220,14192220
18242230,14192230
18242240,14192240
18242250,14192250
18242310,14192310
18242333,14192333
18242338,14192338
18242353,14192353
18242358,14192358
18242370,14192370
18242393,14192393
18242395,14192395
18243173,32991130
18243175,14193175
18243180,14193180
18243190,14193190
18243210,14193200
18243233,14193200
18243235,14193200
18243253,14193200
18243255,14193200
18243273,14193200
18243275,14193200
18244130,14194130
18244150,14194150
18244230,14194230
18244250,14194250
18244270,14194270
18244330,14194300
18244350,14194300
18301130,15111030
18301150,15111050
18301230,14201030
18301290,14201090
18301300,13911920
19101100,15112100
19101200,15112200
19102100,15113100
19102200,15113200
19102300,15113300
19103130,15114130
19103150,15114150
19103230,15114230
19103250,15114250
19103330,15114330
19103350,15114350
19104130,15115100
19104150,15115100
19104200,15115200
19201100,15121100
19201210,15121210
19201220,15121220
19201230,15121230
19201250,15121250
19201270,15121270
19201300,15121300
19201430,15121930
19201450,15121960
19301100,15201100
19301210,15201210
19301231,15201231
19301237,15201237
19301351,15201351
19301352,15201352
19301353,15201353
19301361,15201361
19301362,15201362
19301363,15201363
19301370,15201370
19301380,15201380
19301444,15201444
19301445,15201445
19301448,15201446
19301449,15201446
19302110,32301200
19302150,32301200
19302240,15202100
19302310,15202900
19302350,15202900
19303125,15203120
19303135,15203120
19303140,15203120
19303150,15203150
19303255,15203200
19303257,15201330
19303290,15203200
19304065,15204020
19304069,15204050
19304070,22197350
19304070,22292920
19304091,16291410
19304099,15204080
20101010,16101010
20101032,16101032
20101034,16101034
20101035,16101035
20101037,16101037
20101039,16101039
20101050,16101050
20101071,16101071
20101077,16101077
20102110,16102110
20102150,16102150
20102200,16102200
20102303,16102303
20102305,16102305
20103116,16103116
20103200,16103200
20104005,
20104009,
20109000,16109100
20201110,16211100
20201121,16211211
20201124,16211214
20201127,16211217
20201210,16211221
20201220,16211224
20201313,16211313
20201316,16211316
20201319,16211319
20201350,16211350
20201423,16211423
20201426,16211426
20201429,16211429
20201443,16211443
20201446,16211446
20201449,16211449
20202113,16212113
20202118,16212118
20202200,16212200
20301110,16231110
20301150,16231150
20301215,16221030
20301219,16221060
20301230,16231200
20301250,16231200
20301300,16231900
20302000,16232000
20401133,16241133
20401135,16241135
20401213,16241320
20401215,16241350
20401250,16241200
20511100,16291130
20511200,16291200
20511300,16291300
20511410,16291420
20511450,16291490
20521130,16292130
20521150,16292150
20521250,16292250
20521290,16292290
20521330,16292320
20521350,16292350
20521370,16292380
20521400,16292400
20521510,16292500
20521530,16292500
20521555,16292500
20521559,16292500
20521570,16292500
20521590,16292500
21111100,17111100
21111213,17111200
21111215,17111200
21111253,17111200
21111255,17111200
21111313,17111300
21111315,17111300
21111353,17111300
21111355,17111300
21111415,17111400
21111419,17111400
21111430,17111400
21111450,17111400
21121150,17121100
21121200,17121200
21121310,17121300
21121355,17121300
21121359,17121300
21121410,17121410
21121435,17121435
21121439,17121439
21121450,17121450
21121470,17121470
21122130,17122030
21122155,17122055
21122157,17122057
21122190,17122090
21122250,17123100
21122290,17123200
21122315,17124120
21122319,17124140
21122333,17124160
21122335,17125100
21122335,17125900
21122337,17125100
21122337,17125900
21122350,17124180
21122400,17123300
21122400,17123400
21122520,17123520
21122540,17123540
21123010,17124220
21123020,17124400
21123030,17124330
21123040,17124360
21123061,17124240
21123065,17124260
21123069,17124280
21124010,17126000
21124030,17126000
21124050,17126000
21124070,17126000
21125100,17127100
21125230,17127200
21125250,17127200
21125335,17127335
21125337,17127337
21125360,17127360
21125375,17127375
21125379,17127379
21125430,17127400
21125430,17127500
21125430,17127820
21125453,17127953
21125455,17127955
21125459,17127850
21125470,17127970
21125530,17127600
21125550,17127600
21125590,17127600
21125610,17127710
21125633,17127733
21125635,17127735
21125655,17127755
21125659,17127759
21125670,17127770
21125700,17127780
21211100,17211100
21211230,17211230
21211250,17211250
21211300,17211300
21211400,17211400
21211530,17211530
21211550,17211550
21221110,17221120
21221133,17221140
21221135,17221160
21221150,17221180
21221210,17221220
21221230,17221230
21221250,17221250
21221290,17221290
21221300,17221300
21231115,17231100
21231118,17231100
21231230,17231230
21231250,17231250
21231270,17231270
21231350,17231400
21241110,17241100
21241130,17241100
21241180,17241100
21241200,17241200
21251235,17291120
21251239,17291140
21251255,17291160
21251259,17291180
21251300,17291200
21251413,17291910
21251415,17291910
21251420,17291920
21251430,17291930
21251451,17291951
21251455,17291955
21251457,17291957
21251485,17291985
22111000,
22112170,
22112180,
22112200,
22113100,
22113250,
22114100,
22114200,
22115100,
22115100,32995980
22115200,
22121100,
22121200,
22131100,
22131200,
22141130,
22141150,
22141200,
22142100,
22142200,
22151130,
22151150,
22151250,
22151300,
22151400,
22151530,
22151550,
22151600,
22211000,18111000
22221100,18121100
22221230,18121230
22221250,18121250
22221300,18121990
22222013,17231313
22222015,17231315
22222017,17231317
22222019,17231319
22222030,17231330
22222050,17231350
22222075,17231375
22222079,17231379
22222080,17231380
22222090,17231390
22223100,18121407
22223100,18121414
22223100,18121421
22223100,18121428
22223100,18121920
22223220,18121300
22223230,18121435
22223230,18121442
22223243,18121449
22223243,18121456
22223245,18121930
22223250,18121910
22223270,18121463
22223290,18121990
22231010,18141010
22231030,18141030
22231050,18141050
22241000,18131000
22242000,18132000
22251000,18133000
22311010,18201010
22311030,18201030
22311050,18201050
22311070,18201070
22321050,18202050
22321070,18202070
22331030,18203030
22331050,18203050
22331070,18203070
24111120,20111120
24111130,20111130
24111150,20111150
24111160,20111160
24111170,20111170
24111230,20111230
24111250,20111250
24111270,20111270
24111290,20111290
24111300,20111300
24121130,20121130
24121150,20121150
24121215,20121200
24121219,20121200
24121235,20121200
24121239,20121200
24121253,20121200
24121255,20121200
24121257,20121200
24121270,20121200
24121313,20121910
24121315,20121910
24121330,20121930
24121353,20121950
24121355,20121950
24121363,20121950
24121365,20121950
24121373,20121973
24121375,20121975
24121390,20121990
24122110,20122110
24122120,20122120
24122130,20122130
24122140,20122140
24122150,20122150
24122160,20122160
24122170,20122170
24122250,20122250
24122270,20122270
24122330,20122330
24122350,20122350
24122415,20122415
24122419,20122419
24122430,20122440
24122450,20122440
24122470,20122470
24131111,20132111
24131113,20132116
24131115,20132116
24131117,20132116
24131120,20132120
24131130,20132130
24131140,20132140
24131153,20132150
24131155,20132150
24131160,20132180
24131170,20132180
24131190,20132180
24131235,20132235
24131237,20132237
24131250,20132260
24131270,20132260
24131325,20132300
24131329,20132300
24131330,20132300
24131350,20132300
24131370,20132300
24131380,20132300
24131413,20132413
24131415,20132415
24131433,20132433
24131435,20132435
24131453,20132453
24131455,20132455
24131460,20132460
24131473,20132473
24131475,20132475
24131477,20132477
24131525,20132525
24131527,20132527
24131535,20132535
24131537,20132537
24131550,20132550
24131560,20132560
24131570,20132570
24131580,20132580
24132110,20133110
24132130,20133130
24132150,20133150
24132170,20133170
24132235,20133230
24132239,20133230
24132255,20133250
24132259,20133250
24133113,20134110
24133115,20134110
24133133,20134133
24133135,20134135
24133153,20134151
24133155,20134151
24133157,20134157
24133173,20134173
24133175,20134175
24133210,20134210
24133220,20134220
24133230,20134230
24133240,20134240
24133250,20134280
24133260,20134280
24133270,20134270
24133310,20134310
24133320,20134320
24133330,20134390
24133340,20134340
24133350,20134390
24133371,20134390
24133373,20134390
24133377,20134390
24134125,20135125
24134140,20135110
24134150,20135110
24134160,20135110
24134175,20135175
24134183,20135183
24134185,20135185
24134250,20135250
24134270,20135270
24134290,20135290
24135100,20136100
24135220,20136220
24135240,20136240
24135250,20136230
24135260,20136230
24135270,20136270
24135280,20136280
24135300,20136300
24135430,20136480
24135450,20136450
24135470,20136480
24135500,20136500
24135600,20136600
24135700,20136700
24135850,20136800
24135870,20136800
24141120,20141120
24141130,20141130
24141140,20141140
24141150,20141150
24141165,20141165
24141167,20141167
24141190,20141190
24141213,20141213
24141215,20141215
24141223,20141223
24141225,20141225
24141243,20141243
24141245,20141245
24141247,20141247
24141250,20141250
24141260,20141260
24141270,20141270
24141280,20141290
24141290,20141290
24141313,20141313
24141315,20141315
24141323,20141323
24141325,20141325
24141353,20141353
24141357,20141357
24141371,20141371
24141373,20141374
24141375,20141374
24141379,20141379
24141450,20141450
24141470,20141470
24141490,20141490
24141510,20141910
24141530,20141930
24141553,20141950
24141559,20141950
24141573,20141970
24141575,20141970
24141579,20141970
24142100,20142100
24142210,20142210
24142220,20142220
24142230,20142230
24142240,20142240
24142263,20142263
24142265,20142265
24142273,20142270
24142275,20142270
24142310,20142310
24142320,20142320
24142333,20142333
24142339,20142339
24142350,20142350
24142373,20142373
24142375,20142375
24142415,20142410
24142417,20142410
24142419,20142410
24142433,20142433
24142439,20142439
24142453,20142450
24142455,20142450
24142459,20142450
24143120,20143120
24143130,20143130
24143150,20143150
24143195,20143195
24143197,20143197
24143215,20143215
24143217,20143219
24143219,20143219
24143220,20143220
24143235,20143230
24143237,20143230
24143243,20143240
24143245,20143240
24143247,20143240
24143253,20143250
24143255,20143250
24143271,20143271
24143277,20143277
24143278,20143278
24143280,20143280
24143310,20143310
24143320,20143320
24143330,20143330
24143340,20143340
24143350,20143350
24143363,20143363
24143365,20143365
24143367,20143367
24143370,20143370
24143383,20143383
24143385,20143385
24143387,20143387
24143413,20143410
24143415,20143410
24143423,20143420
24143425,20143420
24143433,20143430
24143435,20143430
24143443,20143440
24143445,20143440
24143473,20143473
24143475,20143475
24144113,20144113
24144115,20144119
24144117,20144119
24144123,20144123
24144125,20144123
24144127,20144129
24144130,20144130
24144151,20144151
24144153,20144153
24144155,20144159
24144157,20144159
24144170,20144170
24144233,20144233
24144235,20144235
24144237,20144237
24144239,20144239
24144290,20144290
24144310,20144310
24144320,20144320
24144330,20144330
24144340,20144340
24144350,20144350
24144360,20144360
24144370,20144370
24144420,20144420
24144430,20144430
24144450,20144450
24144490,20144490
24145135,20145133
24145137,20145133
24145139,20145139
24145150,20145150
24145210,20145210
24145230,20145230
24145250,20145280
24145260,20145260
24145270,20145280
24145290,20145290
24145350,20145350
24145375,20145380
24145379,20145380
24146111,20146111
24146113,20146113
24146115,20146115
24146119,20146119
24146120,20146120
24146130,20146130
24146143,20146140
24146145,20146140
24146147,20146140
24146150,20146150
24146160,20146160
24146170,20146170
24146211,20146211
24146213,20146213
24146215,20146215
24146219,20146219
24146231,20146231
24146233,20146233
24146235,20146235
24146239,20146239
24146260,20146260
24146270,20146270
24146313,20146310
24146319,20146310
24146323,20146323
24146325,20146325
24146333,20146333
24146339,20146339
24146350,20146350
24146360,20146360
24146373,20146373
24146375,20146375
24146379,20146379
24146380,20146380
24146430,20146430
24146450,20146450
24146470,20146470
24147120,20147120
24147130,20147130
24147140,20147140
24147150,20147150
24147170,20147170
24147200,20147200
24147320,20147320
24147330,20147320
24147340,20147340
24147350,20147360
24147365,20147390
24147367,20147390
24147370,19103000
24151050,20151050
24151075,20151075
24151077,20151077
24152020,20152030
24152030,20152080
24152050,20157600
24153013,20153130
24153019,20153180
24153023,20153200
24153029,20153930
24153030,20153300
24153043,20153530
24153045,20153580
24153060,20153400
24153080,20153960
24153095,20153990
24154035,20154100
24154090,20154900
24155030,20155100
24155050,20155200
24155090,20155900
24156000,20158000
24157050,20156000
24157070,20156000
24158010,20157930
24158023,20157130
24158025,20157180
24158030,20157200
24158040,20157300
24158053,20157400
24158059,20157400
24158063,20157500
24158069,20157500
24158090,20157980
24161035,20161035
24161039,20161039
24161050,20161050
24161070,20161070
24161090,20161090
24162035,20162035
24162039,20162039
24162050,20162050
24162070,20162070
24162090,20162090
24163010,20163010
24163023,20163023
24163025,20163025
24163040,20163040
24163050,20163090
24163060,20163060
24163070,20163060
24163090,20163090
24164013,20164013
24164015,20164015
24164020,20164020
24164030,20164030
24164040,20164040
24164050,20164050
24164062,20164062
24164064,20164064
24164070,20164070
24164080,20164080
24164090,20164090
24165130,20165130
24165150,20165150
24165230,20165230
24165250,20165250
24165270,20165270
24165350,20165350
24165390,20165390
24165450,20165450
24165490,20165490
24165550,20165550
24165570,20165570
24165630,20165630
24165650,20165650
24165670,20165670
24165700,20165700
24165810,20165920
24165820,20165920
24165830,20165940
24165840,20165940
24165850,20165940
24165860,20165960
24165870,20165970
24171050,20171050
24171090,20171090
24201130,20201130
24201140,20201140
24201150,20201150
24201160,20201160
24201180,20201190
24201220,20201220
24201230,20201230
24201240,20201240
24201250,20201250
24201260,20201260
24201270,20201270
24201290,20201290
24201350,20201350
24201370,20201370
24201430,20201430
24201450,20201450
24201490,20201490
