CN,Year,UNU_Key
84289030,2004,1203
84289071,2004,1203
84289079,2004,1203
84289091,2004,1203
84289098,2004,1203
84289030,2005,1203
84289071,2005,1203
84289079,2005,1203
84289091,2005,1203
84289098,2005,1203
84289030,2006,1203
84289071,2006,1203
84289079,2006,1203
84289091,2006,1203
84289097,2006,1203
84289030,2007,1203
84289071,2007,1203
84289079,2007,1203
84289091,2007,1203
84289095,2007,1203
84289030,2008,1203
84289071,2008,1203
84289079,2008,1203
84289091,2008,1203
84289095,2008,1203
84289030,2009,1203
84289071,2009,1203
84289079,2009,1203
84289091,2009,1203
84289095,2009,1203
84289071,2010,1203
84289079,2010,1203
84289090,2010,1203
84289090,2011,1203
84289071,2011,1203
84289079,2011,1203
84289090,2012,1203
84289071,2012,1203
84289079,2012,1203
84289090,2013,1203
84289071,2013,1203
84289079,2013,1203
84289090,2014,1203
84289071,2014,1203
84289079,2014,1203
84289090,2015,1203
84289071,2015,1203
84289079,2015,1203
84289090,2016,1203
84289071,2016,1203
84289079,2016,1203
84289090,2017,1203
84289071,2017,1203
84289079,2017,1203
84289090,2018,1203
84289071,2018,1203
84289079,2018,1203
84435100,1996,0304
84435100,1997,0304
84435100,1998,0304
84435100,1999,0304
84435100,2000,0304
84435100,2001,0304
84435100,2002,0304
84435100,2003,0304
84435100,2004,0304
84435100,2005,0304
84435100,2006,0304
84435920,1996,0304
84435980,1996,0304
84435920,1997,0304
84435980,1997,0304
84435920,1998,0304
84435940,1998,0304
84435970,1998,0304
84435920,1999,0304
84435940,1999,0304
84435970,1999,0304
84435920,2000,0304
84435940,2000,0304
84435970,2000,0304
84435920,2001,0304
84435940,2001,0304
84435970,2001,0304
84435920,2002,0304
84435940,2002,0304
84435970,2002,0304
84435920,2003,0304
84435940,2003,0304
84435970,2003,0304
84435920,2004,0304
84435940,2004,0304
84435970,2004,0304
84435920,2005,0304
84435940,2005,0304
84435970,2005,0304
84435920,2006,0304
84435940,2006,0304
84435970,2006,0304
85182910,1993,0405
85182990,1993,0405
85182910,1994,0405
85182990,1994,0405
85182910,1995,0405
85182990,1995,0405
85182910,1996,0405
85182990,1996,0405
85182910,1997,0405
85182990,1997,0405
85182910,1998,0405
85182920,1998,0405
85182980,1998,0405
85182910,1999,0405
85182920,1999,0405
85182980,1999,0405
85182910,2000,0405
85182920,2000,0405
85182980,2000,0405
85182910,2001,0405
85182920,2001,0405
85182980,2001,0405
85182910,2002,0405
85182920,2002,0405
85182980,2002,0405
85182910,2003,0405
85182920,2003,0405
85182980,2003,0405
85182910,2004,0405
85182920,2004,0405
85182980,2004,0405
85182910,2005,0405
85182920,2005,0405
85182980,2005,0405
85182930,2006,0405
85182995,2006,0405
85182930,2007,0405
85182995,2007,0405
85182930,2008,0405
85182995,2008,0405
85182930,2009,0405
85182995,2009,0405
