"UNU_Key","Year","Country","POM_kg","POM_pieces"
"0001","2004","BGR",3557288.6,115309.19286872
"0001","2004","CYP",605900,19640.1944894652
"0001","2004","DEU",37323199,1209828.16855754
"0001","2004","DNK",651566.2,21120.4602917342
"0001","2004","ESP",22891140.2,742014.26904376
"0001","2004","EST",1046867,33934.1004862237
"0001","2004","FIN",1009552.8,32724.5640194489
"0001","2004","FRA",117777980.6,3817762.74230146
"0001","2004","GBR",156708662.8,5079697.33549433
"0001","2004","GRC",11973271.8,388112.53808752
"0001","2004","HRV",2706442.4,87729.0891410049
"0001","2004","HUN",6461426.2,209446.554294976
"0001","2004","IRL",13686789.2,443656.051863857
"0001","2004","ITA",302242045.6,9797148.96596434
"0001","2004","LTU",3521882.4,114161.504051864
"0001","2004","LUX",465400,15085.8995137763
"0001","2004","LVA",2078282.8,67367.3517017828
"0001","2004","MLT",20700,670.988654781199
"0001","2004","NLD",61346326.4,1988535.70178282
"0001","2004","POL",48072816.6,1558276.06482982
"0001","2004","PRT",1418350.8,45975.7147487844
"0001","2004","ROU",17832462.8,578037.692058347
"0001","2004","SVK",5702605.4,184849.445705024
"0001","2004","SVN",1799413,58327.811993517
"0001","2004","SWE",6964382.2,225749.828200972
"0001","2005","AUT",623877,20222.9173419774
"0001","2005","BEL",19869452.6,644066.534846029
"0001","2005","BGR",3895384.2,126268.531604538
"0001","2005","CYP",746300,24191.2479740681
"0001","2005","DEU",57731674.4,1871367.07941653
"0001","2005","DNK",1894691,61416.2398703404
"0001","2005","ESP",32226706,1044625.80226904
"0001","2005","EST",1259466.75,40825.5024311183
"0001","2005","FIN",940900.8,30499.2155591572
"0001","2005","GBR",176774073.6,5730115.83792545
"0001","2005","GRC",10658281.2,345487.235008104
"0001","2005","HRV",3371827.6,109297.4910859
"0001","2005","HUN",6169595.6,199986.891410049
"0001","2005","IRL",11943791.6,387156.940032415
"0001","2005","ITA",290631079.6,9420780.53808752
"0001","2005","LTU",2922174,94722.0097244733
"0001","2005","LUX",725600,23520.2593192869
"0001","2005","LVA",2344909,76010.0162074554
"0001","2005","MLT",18300,593.192868719611
"0001","2005","NLD",66672414,2161180.35656402
"0001","2005","POL",45934178,1488952.28525122
"0001","2005","PRT",17664024.2,572577.769854133
"0001","2005","ROU",23179280.4,751354.307941653
"0001","2005","SVK",10655926.8,345410.917341977
