UNU_Key	Product	Component	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	Nd_content	Component_weight	Nd_concentration	Content_source	Component_source	Conc_source	Prod_weight
0114	Microwaves	NdFeB	0	0.00045	0.001	0.00175	0.003	0.004733574159424	0.006966859327539	0.009200144495655	0.01143342966377	0.013666714831885	0.0159	0.01866	0.02142	0.02418	0.02694	0.0297	0.0366	0.0435	0.0504	0.0573	0.0642	0.06338863683568	0.062577273671359	0.061765910507039	0.060954547342718	0.060143184178398	0.059830088712417	0.059372718996504	0.058900821353542	0.058045650457412	0.057028274069611	2.2E-05	110	0.2280		Habib et al. (2014)		20.5227586206896
0201b	Fans	NdFeB	0	0.00035046728972	0.000778816199377	0.00136292834891	0.002336448598131	0.003686584236312	0.005425902903068	0.007165221569824	0.008904540236581	0.010643858903337	0.012383177570094	0.014532710280374	0.016682242990654	0.018831775700935	0.020981308411215	0.023130841121495	0.028504672897196	0.033878504672897	0.039252336448598	0.044626168224299	0.05	0.04936809722405	0.048736194448099	0.048104291672149	0.047472388896198	0.046840486120248	0.04659664229939	0.046240435355532	0.045872913826746	0.045206892879604	0.044414543667921	2.753E-05	0.6	0.2280				1.96735850756287
0204	Vacuum cleaners	NdFeB	0	0.001457114438388	0.003238032085307	0.005666556149287	0.009714096255921	0.015327465006397	0.022558914036394	0.029790363066391	0.037021812096389	0.044253261126386	0.051484710156383	0.060421678711831	0.069358647267279	0.078295615822726	0.087232584378174	0.096169552933622	0.118511974322241	0.14085439571086	0.163196817099479	0.185539238488098	0.207881659876717	0.205254439917812	0.202627219958906	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.001912	16.8	0.2280				3.27
0205	Personal care	NdFeB	0	0.002586206896552	0.005747126436782	0.010057471264368	0.017241379310345	0.027204449192094	0.040039421422641	0.052874393653187	0.065709365883734	0.078544338114281	0.091379310344828	0.107241379310345	0.123103448275862	0.138965517241379	0.154827586206897	0.170689655172414	0.210344827586207	0.25	0.289655172413793	0.329310344827586	0.368965517241379	0.364302510549883	0.359639503858386	0.35497649716689	0.350313490475393	0.345650483783897	0.343851084554118	0.341222522968411	0.338510467549092	0.333595692283974	0.327748701549488	0.0004182	1	0.2280		Habib et al. (2014)		1.89
0205b	Shavers	NdFeB	0	0.002586206896552	0.005747126436782	0.010057471264368	0.017241379310345	0.027204449192094	0.040039421422641	0.052874393653187	0.065709365883734	0.078544338114281	0.091379310344828	0.107241379310345	0.123103448275862	0.138965517241379	0.154827586206897	0.170689655172414	0.210344827586207	0.25	0.289655172413793	0.329310344827586	0.368965517241379	0.364302510549883	0.359639503858386	0.35497649716689	0.350313490475393	0.345650483783897	0.343851084554118	0.341222522968411	0.338510467549092	0.333595692283974	0.327748701549488	0.00062	1	0.2280		Habib et al. (2014)		5.51586206896552
0205c	Toothbrushes	NdFeB	0	0.002586206896552	0.005747126436782	0.010057471264368	0.017241379310345	0.027204449192094	0.040039421422641	0.052874393653187	0.065709365883734	0.078544338114281	0.091379310344828	0.107241379310345	0.123103448275862	0.138965517241379	0.154827586206897	0.170689655172414	0.210344827586207	0.25	0.289655172413793	0.329310344827586	0.368965517241379	0.364302510549883	0.359639503858386	0.35497649716689	0.350313490475393	0.345650483783897	0.343851084554118	0.341222522968411	0.338510467549092	0.333595692283974	0.327748701549488		1	0.2280		Habib et al. (2014)		0.55
0301b	HDDs	NdFeB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.816987084517107	0.751803854131579	0.679973050362136	0.615107442348008	0.533364442370509	0.488548276247862	0.005645660158515	15.03	0.2868		Danczak et al. (2018); Tecchio et al. (2018); Zepf in Sprecher (2014); Auerbach et al. (2017);	Danczak et al. (2018); Habib et al. (2014)	0.488275862068966
0302	Desktop PCs	NdFeB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.993307149075715	0.990048198133096	0.985225968306727	0.978118729063869	0.96770453530155	0.952574126822433	0.930861579656653	0.900249510880315	0.858148935099512	0.802183888558582	0.731058578630005	0.645656306225795	0.549833997312478	0.450166002687522	0.354343693774205	0.0005108	18.86	0.2698		Yang et al. (2017); Hobohm & Kuchta (2015); Glöser-Chahoud et al. (2016); 	Habib et al. (2014); Reimer et al. (2018); Sekine et al. (2017); Böni (2015)	9.32758620689656
0303a	Laptops	NdFeB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.994819733384604	0.992297305355016	0.988564899469407	0.983063896295435	0.975003310323399	0.963292374160563	0.94648686265425	0.922793121421364	0.890207275767022	0.846890329744342	0.791839339859624	0.725737981018766	0.651571513919858	0.574428486080142	0.500262018981234	0.0017727	11.4315	0.2700		Böni (2015); Hobohm & Kuchta (2015); Glöser-Chahoud et al. (2016); Buchert et al. (2012); 	Habib et al. (2014); Sekine et al. (2017); Böni (2015); Buchert et al. (2012)	1.81
0303b	Tablets	NdFeB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2.4	0.2245		Manhart et al. (2016)		0.5
