UNU_Key,Country,AverageWeight,Year
0105,,45.98,2012.0
0106,,12.14,2012.0
0108,,40.79,2012.0
0109,,44.09,2012.0
0111,,26.7,2012.0
0201,,0.99,2012.0
0202,,3.27,2012.0
0203,,1.89,2012.0
0204,,5.88,2012.0
0205,,0.55,2012.0
0301,,0.4,2012.0
0302,,8.77,2012.0
0303,,1.59,2012.0
0304,,10.32,2012.0
0305,,0.45,2012.0
0306,,0.09,2012.0
0307,,40.0,2012.0
0308,,22.0,2012.0
0309,,5.5,2012.0
0401,,0.39,2012.0
0402,,0.23,2012.0
0403,,3.73,2012.0
0404,,3.51,2012.0
0405,,2.14,2012.0
0406,,0.29,2012.0
0407,,33.2,2012.0
0408,,13.5,2012.0
0501,,0.09,2012.0
0502,,0.08,2012.0
0505,,0.08,2012.0
0504,,0.07,2012.0
0503,,0.11,2012.0
0506,,0.45,2012.0
0507,,2.67,2012.0
0701,,0.45,2012.0
0702,,0.48,2012.0
0703,,7.37,2012.0
0801,,0.18,2012.0
0802,,67.04,2012.0
0901,,0.24,2012.0
0902,,5.51,2012.0
0112,,41.7,2012.0
0113,,110.1,2012.0
0114,,22.9,2012.0
0002,,17.0,2012.0
0408,,8.1,1998.0
0408,,8.65,1999.0
0408,,9.2,2000.0
0408,,9.75,2001.0
0408,,10.3,2002.0
0408,,10.85,2003.0
0408,,11.4,2004.0
0408,,11.95,2005.0
0408,,12.5,2006.0
0408,,13.05,2007.0
0408,,13.6,2008.0
0501,,0.09,1993.0
0501,,0.09,1994.0
0501,,0.09,1995.0
0501,,0.09,1996.0
0501,,0.09,1997.0
0501,,0.09,1998.0
0501,,0.09,1999.0
0501,,0.09,2000.0
0501,,0.09,2001.0
0501,,0.09,2002.0
0501,,0.09,2003.0
0501,,0.09,2004.0
0501,,0.09,2005.0
0501,,0.09,2006.0
0501,,0.09,2007.0
0501,,0.09,2008.0
0502,,0.08,1993.0
0502,,0.08,1994.0
0502,,0.08,1995.0
0502,,0.08,1996.0
0502,,0.08,1997.0
0502,,0.08,1998.0
0502,,0.08,1999.0
0502,,0.08,2000.0
0502,,0.08,2001.0
0502,,0.08,2002.0
0502,,0.08,2003.0
0502,,0.08,2004.0
0502,,0.08,2005.0
0502,,0.08,2006.0
0502,,0.08,2007.0
0502,,0.08,2008.0
0505,,0.08,1993.0
0505,,0.08,1994.0
0505,,0.08,1995.0
0505,,0.08,1996.0
0505,,0.08,1997.0
0505,,0.08,1998.0
0505,,0.08,1999.0
0505,,0.08,2000.0
0505,,0.08,2001.0
0505,,0.08,2002.0
0505,,0.08,2003.0
0505,,0.08,2004.0
0505,,0.08,2005.0
0505,,0.08,2006.0
0505,,0.08,2007.0
0505,,0.08,2008.0
0504,,0.07,1993.0
0504,,0.07,1994.0
0504,,0.07,1995.0
0504,,0.07,1996.0
0504,,0.07,1997.0
0504,,0.07,1998.0
0504,,0.07,1999.0
0504,,0.07,2000.0
0504,,0.07,2001.0
0504,,0.07,2002.0
0504,,0.07,2003.0
0504,,0.07,2004.0
0504,,0.07,2005.0
0504,,0.07,2006.0
0504,,0.07,2007.0
0504,,0.07,2008.0
0503,,0.11,1993.0
0503,,0.11,1994.0
0503,,0.11,1995.0
0503,,0.11,1996.0
0503,,0.11,1997.0
0503,,0.11,1998.0
0503,,0.11,1999.0
0503,,0.11,2000.0
0503,,0.11,2001.0
0503,,0.11,2002.0
0503,,0.11,2003.0
0503,,0.11,2004.0
0503,,0.11,2005.0
0503,,0.11,2006.0
0503,,0.11,2007.0
0503,,0.11,2008.0
0506,,0.45,1993.0
0506,,0.45,1994.0
0506,,0.45,1995.0
0506,,0.45,1996.0
0506,,0.45,1997.0
0506,,0.45,1998.0
0506,,0.45,1999.0
0506,,0.45,2000.0
0506,,0.45,2001.0
0506,,0.45,2002.0
0506,,0.45,2003.0
0506,,0.45,2004.0
0506,,0.45,2005.0
0506,,0.45,2006.0
0506,,0.45,2007.0
0506,,0.45,2008.0
0507,,2.67,1993.0
0507,,2.67,1994.0
0507,,2.67,1995.0
0507,,2.67,1996.0
0507,,2.67,1997.0
0507,,2.67,1998.0
0507,,2.67,1999.0
